JobKey,JobId,JobTitle,JobLevel,JobTag
1236,ProductDesignerStaff,Product Designer,Staff,Full Stack
1237,SoftwareEngineerLPB,Software Engineer,LPB,Full Stack
1238,ProductManagerL,Product Manager,L,Android
1239,DataScientistGrade8,Data Scientist,Grade 8,ML / AI
1240,SoftwareEngineerSEIII,Software Engineer,SE III,Full Stack
1241,SoftwareEngineeringManagerIC5,Software Engineering Manager,IC5,Distributed Systems (Back-End)
1242,SoftwareEngineerS1,Software Engineer,S1,Full Stack
1243,DataScientistQuantitativeAssociate,Data Scientist,Quantitative Associate,ML / AI
1244,HardwareEngineer63,Hardware Engineer,63,ME
1245,DataScientistE3,Data Scientist,E3,ML / AI
1246,SoftwareEngineer601,Software Engineer,601,Mainframe
1247,SolutionArchitectJS5,Solution Architect,JS5,OSS/BSS
1248,HardwareEngineerLead,Hardware Engineer,Lead,iOS
1249,HumanResources63,Human Resources,63,HR
1250,DataScientist6,Data Scientist,6,ML / AI
1251,SoftwareEngineeringManagerL9,Software Engineering Manager,L9,ML / AI
1252,ProductDesignerSeniorAssociate,Product Designer,Senior Associate,Web Development (Front-End)
1253,SoftwareEngineerJuniorAdvanced,Software Engineer,Junior Advanced,Gaming
1254,SoftwareEngineerEngineerLevel3,Software Engineer,Engineer Level 3,Web Development (Front-End)
1255,ProductManagerIC,Product Manager,IC,Mobile (iOS + Android)
1256,SoftwareEngineerAssociate6O2,Software Engineer,Associate 6O2,API Development (Back-End)
1257,DataScientistT22,Data Scientist,T22,risk
1258,SoftwareEngineeringManager3,Software Engineering Manager,3,iOS
1259,SoftwareEngineerII,Software Engineer,II,API Development (Back-End)
1260,SolutionArchitectAssociate,Solution Architect,Associate,Security
1261,SolutionArchitect23,Solution Architect,23,Web Development (Front-End)
1262,SoftwareEngineerT11,Software Engineer,T11,EDA
1263,DataScientistSeniorII,Data Scientist,Senior II,Security
1264,SoftwareEngineerLevel3-SrEngineer,Software Engineer,Level 3 - Sr Engineer,API Development (Back-End)
1265,SoftwareEngineeringManagerICT3,Software Engineering Manager,ICT3,ML / AI
1266,SoftwareEngineeringManagerSDM,Software Engineering Manager,SDM,Full Stack
1267,ProductManagerLeadProductManager,Product Manager,Lead Product Manager,Distributed Systems (Back-End)
1268,SolutionArchitectSeniorPrincipalSWE,Solution Architect,Senior Principal SWE,Business
1269,SolutionArchitect13,Solution Architect,13,API Development (Back-End)
1270,"SoftwareEngineeringManagerSrManager,SiteReliability",Software Engineering Manager,"Sr Manager, Site Reliability",DevOps
1271,ProductDesignerX5,Product Designer,X5,Mobile (iOS + Android)
1272,HardwareEngineer62,Hardware Engineer,62,None
1273,SoftwareEngineerNewgrad,Software Engineer,New grad,Distributed Systems (Back-End)
1274,SoftwareEngineerecb5,Software Engineer,ecb5,DevOps
1275,ProductManagerT27,Product Manager,T27,Mobile (iOS + Android)
1276,ProductDesignerGrade10,Product Designer,Grade 10,Networking
1277,ProductManagerAPM,Product Manager,APM,Rotational
1278,SoftwareEngineerLevel7,Software Engineer,Level 7,Distributed Systems (Back-End)
1279,SolutionArchitectP6,Solution Architect,P6,Distributed Systems (Back-End)
1280,SoftwareEngineerMTS-4,Software Engineer,MTS-4,Ops Engineering
